term_id,year,rank,term,list_series,source_url
2017-07,2017,7,皮皮虾，我们走,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2017-08,2017,8,扎心了，老铁,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2017-09,2017,9,还有这种操作？,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2017-10,2017,10,你有freestyle吗？,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-01,2018,1,锦鲤,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-02,2018,2,杠精,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-03,2018,3,skr,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-04,2018,4,佛系,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-05,2018,5,确认过眼神,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-06,2018,6,官宣,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-07,2018,7,C位,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-08,2018,8,土味情话,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-09,2018,9,皮一下,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2018-10,2018,10,燃烧我的卡路里,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2019-01,2019,1,不忘初心,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2019-02,2019,2,道路千万条，安全第一条,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2019-03,2019,3,柠檬精,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2019-04,2019,4,好嗨哟,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2019-05,2019,5,是个狼人,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2019-06,2019,6,雨女无瓜,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2019-07,2019,7,硬核,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2019-08,2019,8,996,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2019-09,2019,9,14亿护旗手,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2019-10,2019,10,断舍离,年度十大网络用语,https://nlp.ccnu.edu.cn/news/100
2020-01,2020,1,逆行者,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2020-02,2020,2,秋天的第一杯奶茶,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2020-03,2020,3,带货,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2020-04,2020,4,云监工,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2020-05,2020,5,光盘行动,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2020-06,2020,6,奥利给,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2020-07,2020,7,好家伙,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2020-08,2020,8,夺冠,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2020-09,2020,9,不约而同,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2020-10,2020,10,集美,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2021-01,2021,1,觉醒年代,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
2021-02,2021,2,YYDS,年度十大网络用语,https://nlp.ccnu.edu.cn/conference/15
